            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1646342700,           2022-03-03 21:25:00,           2022-03-03 15:25:00,      3.460000,     18.447000,          9.759459,                   105.874343,      0.964000
                1646343300,           2022-03-03 21:35:00,           2022-03-03 15:35:00,      3.470000,     14.447000,         11.195782,                   111.636303,      0.974000
                1646343900,           2022-03-03 21:45:00,           2022-03-03 15:45:00,      3.470000,     14.048000,         11.340503,                   112.096768,      0.979000
                1646344500,           2022-03-03 21:55:00,           2022-03-03 15:55:00,      3.470000,     13.953000,         11.391411,                   112.365244,      0.981000
                1646345100,           2022-03-03 22:05:00,           2022-03-03 16:05:00,      3.470000,     13.892000,         11.389406,                   112.194820,      0.981000
                1646345700,           2022-03-03 22:15:00,           2022-03-03 16:15:00,      3.470000,     13.909000,         11.373433,                   112.079393,      0.982000
                1646346300,           2022-03-03 22:25:00,           2022-03-03 16:25:00,      3.470000,     13.900000,         11.370436,                   112.027675,      0.981000
                1646346900,           2022-03-03 22:35:00,           2022-03-03 16:35:00,      3.470000,     13.900000,         11.332495,                   111.653856,      0.982000
                1646347500,           2022-03-03 22:45:00,           2022-03-03 16:45:00,      3.470000,     13.918000,         11.320516,                   111.580013,      0.982000
                1646348100,           2022-03-03 22:55:00,           2022-03-03 16:55:00,      3.470000,     13.961000,         11.271597,                   111.202951,      0.981000
                1646348700,           2022-03-03 23:05:00,           2022-03-03 17:05:00,      3.470000,     13.953000,         11.304545,                   111.508396,      0.981000
                1646349300,           2022-03-03 23:15:00,           2022-03-03 17:15:00,      3.470000,     13.970000,         11.301552,                   111.520538,      0.981000
                1646349900,           2022-03-03 23:25:00,           2022-03-03 17:25:00,      3.470000,     13.996000,         11.256625,                   111.140688,      0.981000
                1646350500,           2022-03-03 23:35:00,           2022-03-03 17:35:00,      3.470000,     14.013000,         11.194723,                   110.570787,      0.981000
                1646351100,           2022-03-03 23:45:00,           2022-03-03 17:45:00,      3.470000,     14.039000,         11.131824,                   110.012313,      0.981000
                1646351700,           2022-03-03 23:55:00,           2022-03-03 17:55:00,      3.470000,     14.048000,         11.069921,                   109.422157,      0.981000
                1646352300,           2022-03-04 00:05:00,           2022-03-03 18:05:00,      3.470000,     14.065000,         11.008019,                   108.850878,      0.981000
                1646352900,           2022-03-04 00:15:00,           2022-03-03 18:15:00,      3.470000,     14.065000,         10.966083,                   108.436208,      0.981000
                1646353500,           2022-03-04 00:25:00,           2022-03-03 18:25:00,      3.470000,     14.100000,         10.890205,                   107.768606,      0.981000
                1646354100,           2022-03-04 00:35:00,           2022-03-03 18:35:00,      3.470000,     14.117000,         10.827305,                   107.186090,      0.981000
                1646354700,           2022-03-04 00:45:00,           2022-03-03 18:45:00,      3.470000,     14.135000,         10.809335,                   107.050423,      0.981000
                1646355300,           2022-03-04 00:55:00,           2022-03-03 18:55:00,      3.470000,     14.143000,         10.732454,                   106.307672,      0.981000
                1646355900,           2022-03-04 01:05:00,           2022-03-03 19:05:00,      3.470000,     14.152000,         10.680536,                   105.814268,      0.980000
                1646356500,           2022-03-04 01:15:00,           2022-03-03 19:15:00,      3.470000,     14.161000,         10.657572,                   105.607585,      0.981000
                1646357100,           2022-03-04 01:25:00,           2022-03-03 19:25:00,      3.470000,     14.178000,         10.627621,                   105.350009,      0.980000
                1646357700,           2022-03-04 01:35:00,           2022-03-03 19:35:00,      3.470000,     14.161000,         10.624623,                   105.281086,      0.980000
                1646358300,           2022-03-04 01:45:00,           2022-03-03 19:45:00,      3.470000,     14.187000,         10.573705,                   104.836209,      0.980000
                1646358900,           2022-03-04 01:55:00,           2022-03-03 19:55:00,      3.470000,     14.196000,         10.562723,                   104.747964,      0.981000
                1646359500,           2022-03-04 02:05:00,           2022-03-03 20:05:00,      3.470000,     14.187000,         10.514796,                   104.252136,      0.981000
                1646360100,           2022-03-04 02:15:00,           2022-03-03 20:15:00,      3.470000,     14.169000,         10.475853,                   103.825096,      0.980000
                1646360700,           2022-03-04 02:25:00,           2022-03-03 20:25:00,      3.470000,     14.169000,         10.422935,                   103.300627,      0.980000
                1646361300,           2022-03-04 02:35:00,           2022-03-03 20:35:00,      3.470000,     14.161000,         10.414946,                   103.203365,      0.981000
                1646361900,           2022-03-04 02:45:00,           2022-03-03 20:45:00,      3.470000,     14.143000,         10.378001,                   102.796720,      0.981000
                1646362500,           2022-03-04 02:55:00,           2022-03-03 20:55:00,      3.470000,     14.109000,         10.338058,                   102.324791,      0.981000
                1646363100,           2022-03-04 03:05:00,           2022-03-03 21:05:00,      3.470000,     14.109000,         10.289133,                   101.840542,      0.980000
                1646363700,           2022-03-04 03:15:00,           2022-03-03 21:15:00,      3.470000,     14.074000,         10.267163,                   101.545102,      0.981000
                1646364300,           2022-03-04 03:25:00,           2022-03-03 21:25:00,      3.470000,     14.065000,         10.202262,                   100.883290,      0.980000
                1646364900,           2022-03-04 03:35:00,           2022-03-03 21:35:00,      3.470000,     14.039000,         10.171306,                   100.519817,      0.980000
                1646365500,           2022-03-04 03:45:00,           2022-03-03 21:45:00,      3.470000,     14.031000,         10.125376,                   100.048331,      0.980000
                1646366100,           2022-03-04 03:55:00,           2022-03-03 21:55:00,      3.470000,     14.013000,         10.093423,                    99.693193,      0.980000
                1646366700,           2022-03-04 04:05:00,           2022-03-03 22:05:00,      3.470000,     13.979000,         10.047490,                    99.165411,      0.980000
                1646367300,           2022-03-04 04:15:00,           2022-03-03 22:15:00,      3.470000,     13.970000,          9.993572,                    98.613753,      0.980000
                1646367900,           2022-03-04 04:25:00,           2022-03-03 22:25:00,      3.470000,     13.918000,          9.977590,                    98.343541,      0.979000
                1646368500,           2022-03-04 04:35:00,           2022-03-03 22:35:00,      3.470000,     13.918000,          9.933658,                    97.910526,      0.980000
                1646369100,           2022-03-04 04:45:00,           2022-03-03 22:45:00,      3.470000,     13.883000,          9.887724,                    97.382757,      0.980000
                1646369700,           2022-03-04 04:55:00,           2022-03-03 22:55:00,      3.470000,     13.848000,          9.871745,                    97.150481,      0.980000
                1646370300,           2022-03-04 05:05:00,           2022-03-03 23:05:00,      3.470000,     13.813000,          9.835796,                    96.722089,      0.981000
                1646370900,           2022-03-04 05:15:00,           2022-03-03 23:15:00,      3.470000,     13.787000,          9.792859,                    96.244687,      0.980000
                1646371500,           2022-03-04 05:25:00,           2022-03-03 23:25:00,      3.470000,     13.770000,          9.748925,                    95.776989,      0.980000
                1646372100,           2022-03-04 05:35:00,           2022-03-03 23:35:00,      3.470000,     13.735000,          9.722961,                    95.448181,      0.980000
                1646372700,           2022-03-04 05:45:00,           2022-03-03 23:45:00,      3.470000,     13.700000,          9.690007,                    95.051220,      0.980000
                1646373300,           2022-03-04 05:55:00,           2022-03-03 23:55:00,      3.470000,     13.665000,          9.668037,                    94.762423,      0.981000
                1646373900,           2022-03-04 06:05:00,           2022-03-04 00:05:00,      3.470000,     13.648000,          9.621108,                    94.267020,      0.980000
                1646374500,           2022-03-04 06:15:00,           2022-03-04 00:15:00,      3.470000,     13.604000,          9.586156,                    93.833243,      0.980000
                1646375100,           2022-03-04 06:25:00,           2022-03-04 00:25:00,      3.470000,     13.596000,          9.538230,                    93.347596,      0.980000
                1646375700,           2022-03-04 06:35:00,           2022-03-04 00:35:00,      3.470000,     13.543000,          9.527240,                    93.130745,      0.980000
                1646376300,           2022-03-04 06:45:00,           2022-03-04 00:45:00,      3.470000,     13.526000,          9.491294,                    92.744441,      0.981000
                1646376900,           2022-03-04 06:55:00,           2022-03-04 00:55:00,      3.470000,     13.473000,          9.449353,                    92.226238,      0.979000
                1646377500,           2022-03-04 07:05:00,           2022-03-04 01:05:00,      3.470000,     13.447000,          9.432376,                    92.007485,      0.980000
                1646378100,           2022-03-04 07:15:00,           2022-03-04 01:15:00,      3.470000,     13.421000,          9.406413,                    91.701327,      0.980000
                1646378700,           2022-03-04 07:25:00,           2022-03-04 01:25:00,      3.470000,     13.377000,          9.374457,                    91.300584,      0.980000
                1646379300,           2022-03-04 07:35:00,           2022-03-04 01:35:00,      3.470000,     13.342000,          9.344500,                    90.938092,      0.980000
                1646379900,           2022-03-04 07:45:00,           2022-03-04 01:45:00,      3.470000,     13.307000,          9.322530,                    90.653739,      0.980000
                1646380500,           2022-03-04 07:55:00,           2022-03-04 01:55:00,      3.470000,     13.272000,          9.294569,                    90.311521,      0.980000
                1646381100,           2022-03-04 08:05:00,           2022-03-04 02:05:00,      3.470000,     13.229000,          9.283581,                    90.118476,      0.980000
                1646381700,           2022-03-04 08:15:00,           2022-03-04 02:15:00,      3.470000,     13.211000,          9.256621,                    89.820759,      0.980000
                1646382300,           2022-03-04 08:25:00,           2022-03-04 02:25:00,      3.470000,     13.176000,          9.223668,                    89.431248,      0.979000
